Tayta kurana ninaq, “Manam allitsu tsay ura punkuykita kicharqunki.	El sacerdote contestó, “No es bueno que hayas abierto tu puerta a esa hora.”	CRH-74-022	[['tayta[N]'], ['kura[N]+na[Acp]'], ['ni[VTr]+naq[Rpst]'], ['mana[ADV]+mi[Asrt]'], ['alli[ADV]+tsu[Neg]'], ['tsay[DET]', 'tsay[PRON]'], ['ura[N]'], ['punku[N]+yki[Poss.2]+ta[Obj]'], ['kicha[VTr]+rqu[RecPst]+nki[2]']]	[[('Tayta', 'tayta')], [('kura', 'kura'), ('na', 'na')], [('ni', 'ni'), ('naq', 'naq')], [('Mana', 'mana'), ('m', 'mi')], [('alli', 'alli'), ('tsu', 'tsu')], [('tsay', 'tsay')], [('ura', 'ura')], [('punku', 'punku'), ('yki', 'yki'), ('ta', 'ta')], [('kicha', 'kicha'), ('rqu', 'rqu'), ('nki', 'nki')]]	[['tayta[N]'], ['kura[N]+na[Acp]', 'kura[V]+na[Pot](N)'], ['ni[VTr]+naA[Prosp]+q[Agt]', 'ni[VTr]+naA[Prosp]+q[1.Sbj][2.Obj]', 'ni[VTr]+naq[Rpst]', 'ni[VTr]+naA[Prosp]+q[Hab]'], ['mana[ADV]+mi[Asrt]'], ['alli[ADV]+tsu[Neg]'], ['tsay[DET]', 'tsay[PRON]'], ['ura[UNK]'], ['punku[N]+yki[Poss.2]+ta[Obj]'], ['kicha[VTr]+rqu[RecPst]+nki[2]']]
Nishqannawlla nunaqa shuyarqunaq tsay kapillachaw.	Como dijo, el hombre esperó en esa capilla.	CRH-79-016	[['ni[VTr]+shqa[Prf](N)+n[Poss.3]+naw[Equ]+lla[Lim]'], ['nuna[N]+qa[Top]'], ['shuya[VTr]+rqu[RecPst][3]+naq[Rpst]'], ['tsay[DET]'], ['kapilla[N]+chaw[Loc]']]	[[('Ni', 'ni'), ('shqa', 'shqa'), ('n', 'n'), ('naw', 'naw'), ('lla', 'lla')], [('nuna', 'nuna'), ('qa', 'qa')], [('shuya', 'shuya'), ('rqu', 'rqu'), ('naq', 'naq')], [('tsay', 'tsay')], [('kapilla', 'kapilla'), ('chaw', 'chaw')]]	[['nishqannawlla[UNK]'], ['nuna[N]+qa[Top]'], ['shuya[VTr]+rqu[RecPst][3]+naq[Rpst]'], ['tsay[DET]', 'tsay[PRON]'], ['kapi[N]+lla[Lim]+chaw[Loc]', 'kapilla[N]+chaw[Loc]']]
Ichik ratullatana nirqunaq, “Kutikushaqnachi.	Después de un rato dijo, “Creo que ya voy a regresar.	CRH-79-053	[['ichik[ADJ]'], ['ratu[N]+lla[Lim]+ta[Obj]+na[Acp]'], ['ni[VTr]+rqu[RecPst][3]+naq[Rpst]'], ['kuti[VInt]+kU[Refl/Mid]+shaq[Fut.1]+na[Acp]+chi[Conjc]']]	[[('Ichik', 'ichik')], [('ratu', 'ratu'), ('lla', 'lla'), ('ta', 'ta'), ('na', 'na')], [('ni', 'ni'), ('rqu', 'rqu'), ('naq', 'naq')], [('Kuti', 'kuti'), ('ku', 'kU'), ('shaq', 'shaq'), ('na', 'na'), ('chi', 'chi')]]	[['ichik[ADJ]'], ['ratu[N]+lla[Lim]+ta[Obj]+na[Acp]'], ['ni[VTr]+rqu[RecPst][3]+naq[Rpst]'], ['kuti[VInt]+yku[Intens]+shaq[Fut.1]+na[Acp]+chi[Conjc]', 'kuti[VInt]+kU[Refl/Mid]+shaq[Fut.1]+na[Acp]+chi[Conjc]']]
Tsaynash Enriqueqa willarin, “Imanawtaq kay asuntuta remedyaykushaq? Limpunam kañaa perdirin.	Entonces Enrique le dijo, “¿Cómo voy a solucionar este asunto? Mi caña se pierde por completo.	CRH-95-006	[['tsayna[ADV]+shi[Nfh]'], ['enrique[PROPN]+qa[Top]'], ['willa[VTr]+rI[Pct]+n[3]'], ['imanaw[ADV]+taq[Ctrs](Pron.Interr)'], ['kay[DET]'], ['asuntu[N]+ta[Obj]'], ['remedya[VTr]+yku[Intens]+shaq[Fut.1]'], ['limpu[ADV]+na[Acp]+mi[Asrt]'], ['kaña[N]+ː[Poss.1Sg]'], ['perdi[V]+rI[Pct]+n[3]']]	[[('Tsayna', 'tsayna'), ('sh', 'shi')], [('Enrique', 'enrique'), ('qa', 'qa')], [('willa', 'willa'), ('ri', 'rI'), ('n', 'n')], [('Imanaw', 'imanaw'), ('taq', 'taq')], [('kay', 'kay')], [('asuntu', 'asuntu'), ('ta', 'ta')], [('remedya', 'remedya'), ('yku', 'yku'), ('shaq', 'shaq')], [('Limpu', 'limpu'), ('na', 'na'), ('m', 'mi')], [('kaña', 'kaña'), ('a', 'ː')], [('perdi', 'perdi'), ('ri', 'rI'), ('n', 'n')]]	[['tsay[PRON]+na[Acp]+shi[Nfh]'], ['enrique[PROPN]+qa[Top]'], ['willa[VTr]+rI[Pct]+n[3]'], ['imanaw[ADV]+taq[Ctrs](Pron.Interr)'], ['ka[AUX]+y[Inf]', 'kay[DET]', 'kay[PRON]', 'ka[AUX]+y[Imp.2]'], ['asuntuta[UNK]'], ['remedya[VTr]+yku[Intens]+shaq[Fut.1]'], ['limpu[ADV]+na[Acp]+mi[Asrt]'], ['kaña[N]+ː[Poss.1Sg]'], ['perdi[V]+rI[Pct]+n[3]']]
Tsay diya hunaq gringuwan almorsakurishun.”	Ese día vamos a almorzar con el gringo.”	CRH-95-020	[['tsay[DET]'], ['diya[N]'], ['hunaq[N]'], ['gringu[N]+wan[Com]'], ['almorsa[VInt]+kU[Refl/Mid]+rI[Pct]+shun[Imp.1Pl.Inc]']]	[[('Tsay', 'tsay')], [('diya', 'diya')], [('hunaq', 'hunaq')], [('gringu', 'gringu'), ('wan', 'wan')], [('almorsa', 'almorsa'), ('ku', 'kU'), ('ri', 'rI'), ('shun', 'shun')]]	[['tsay[DET]', 'tsay[PRON]'], ['diya[N]'], ['hunaq[N]'], ['gringu[N]+wan[Com]'], ['almorsa[VInt]+kU[Refl/Mid]+rI[Pct]+shun[Imp.1Pl.Inc]', 'almorsa[VInt]+kU[Refl/Mid]+rI[Pct]+shun[Fut][1Pl.Inc]']]
Prontu entregamay apakunaapaq.	Entréguemela rápido para que me la lleve.	CRH-95-087	[['prontu[ADV]'], ['entrega[V]+maA[1.Obj]+y[Imp.2]'], ['apa[VTr]+kU[Refl/Mid]+na[Pot](N)+ː[Poss.1Sg]+paq[Ben]']]	[[('Prontu', 'prontu')], [('entrega', 'entrega'), ('ma', 'maA'), ('y', 'y')], [('apa', 'apa'), ('ku', 'kU'), ('na', 'na'), ('a', 'ː'), ('paq', 'paq')]]	[['prontu[UNK]'], ['entrega[V]+maA[1.Obj]+y[Imp.2]'], ['apa[VTr]+kU[Refl/Mid]+na[Pot](N)+ː[Poss.1Sg]+paq[Ben]']]
Syempri watukaraykayaamanki.	De vez en cuando nos han de visitar.	CRH-95-095	[['syempri[ADV]'], ['watuka[VTr]+rI[Pct]+yku[Intens]+yaA[VPl]+maA[1.Obj]+nki[2]']]	[[('Syempri', 'syempri')], [('watuka', 'watuka'), ('ra', 'rI'), ('yka', 'yku'), ('yaa', 'yaA'), ('ma', 'maA'), ('nki', 'nki')]]	[['syempri[ADV]'], ['watuka[VTr]+raA[Dur]+yku[Intens]+yaA[VPl]+maA[1.Obj]+nki[2]', 'watuka[VTr]+raA[Dur]+YkaA[Prog]+yaA[VPl]+maA[1.Obj]+nki[2]', 'watuka[VTr]+rI[Pct]+yku[Intens]+yaA[VPl]+maA[1.Obj]+nki[2]', 'watuka[VTr]+rI[Pct]+YkaA[Prog]+yaA[VPl]+maA[1.Obj]+nki[2]']]
Kananqa manam ni imata wiyayta munaatsu.	Ahora ya no quiero oír nada más.	CRH-95-117	[['kanan[ADV]+qa[Top]'], ['mana[ADV]+mi[Asrt]'], ['ni[CCONJ]'], ['ima[PRON]+ta[Obj]'], ['wiya[VTr]+y[Inf]+ta[Obj]'], ['muna[VTr]+ː[1]+tsu[Neg]']]	[[('Kanan', 'kanan'), ('qa', 'qa')], [('mana', 'mana'), ('m', 'mi')], [('ni', 'ni')], [('ima', 'ima'), ('ta', 'ta')], [('wiya', 'wiya'), ('y', 'y'), ('ta', 'ta')], [('muna', 'muna'), ('a', 'ː'), ('tsu', 'tsu')]]	[['ka[AUX]+naA[Prosp]+nqa[Sub](N)', 'ka[AUX]+na[Pot](N)+n[Poss.3]+qa[Top]', 'ka[AUX]+naA[Prosp]+nqa[Fut.3]', 'ka[AUX]+naA[Prosp]+n[3]+qa[Top]', 'kanan[ADV]+qa[Top]'], ['mana[ADV]+mi[Asrt]'], ['ni[CCONJ]'], ['ima[PRON]+ta[Obj]'], ['wiya[VTr]+y[Inf]+ta[Obj]'], ['muna[VTr]+ː[1]+tsu[Neg]']]
Punkuta kichariptin, quwan yaykurinaq.	Cuando abrió la puerta, su esposo entró.	CRH-96-014	[['punku[N]+ta[Obj]'], ['kicha[VTr]+rI[Pct]+pti[Cnv](N)+n[Poss.3]'], ['quwa[N]+n[Poss.3]'], ['yayku[VTr]+rI[Pct]+naq[Rpst]']]	[[('Punku', 'punku'), ('ta', 'ta')], [('kicha', 'kicha'), ('ri', 'rI'), ('pti', 'pti'), ('n', 'n')], [('quwa', 'quwa'), ('n', 'n')], [('yayku', 'yayku'), ('ri', 'rI'), ('naq', 'naq')]]	[['punku[N]+ta[Obj]'], ['kicha[VTr]+rI[Pct]+pti[Cnv](N)+n[Poss.3]'], ['quwa[N]+n[Poss.3]'], ['yayku[VTr]+rI[Pct]+naq[Rpst]']]
Kanannam warmipa quwan nirqunaq posadakuq nunata, “Tsay qara rantikaykamuy.	Ahora el esposo de la mujer dijo al huésped, “Véndeme ese cuero.	CRH-96-030	[['kanan[ADV]+na[Acp]+mi[Asrt]'], ['warmi[N]+pa[Gen]'], ['quwa[N]+n[Poss.3]'], ['ni[VTr]+rqu[RecPst][3]+naq[Rpst]'], ['posada[VTr]+kU[Refl/Mid]+q[Agt]'], ['nuna[N]+ta[Obj]'], ['tsay[DET]'], ['qara[N]'], ['rantikU[VTr]+yku[Intens]+mu[Cis]+y[Imp.2]']]	[[('Kanan', 'kanan'), ('na', 'na'), ('m', 'mi')], [('warmi', 'warmi'), ('pa', 'pa')], [('quwa', 'quwa'), ('n', 'n')], [('ni', 'ni'), ('rqu', 'rqu'), ('naq', 'naq')], [('posada', 'posada'), ('ku', 'kU'), ('q', 'q')], [('nuna', 'nuna'), ('ta', 'ta')], [('Tsay', 'tsay')], [('qara', 'qara')], [('rantika', 'rantikU'), ('yka', 'yku'), ('mu', 'mu'), ('y', 'y')]]	[['kanan[ADV]+na[Acp]+mi[Asrt]', 'ka[AUX]+na[Pot](N)+n[Poss.3]+na[Acp]+mi[Asrt]', 'ka[AUX]+naA[Prosp]+n[3]+na[Acp]+mi[Asrt]'], ['warmi[N]+pa[Man]', 'warmi[N]+pa[Gen]', 'warmi[N]+pa[Prol]'], ['quwa[N]+n[Poss.3]'], ['ni[VTr]+rqu[RecPst][3]+naq[Rpst]'], ['posada[VTr]+kU[Refl/Mid]+q[Hab]', 'posada[VTr]+kU[Refl/Mid]+q[1.Sbj][2.Obj]', 'posada[VTr]+kU[Refl/Mid]+q[Agt]'], ['nuna[N]+ta[Obj]'], ['tsay[DET]', 'tsay[PRON]'], ['qara[N]'], ['ranti[VTr]+kU[Refl/Mid]+YkaA[Prog]+mu[Cis]+y[Imp.2]', 'ranti[VTr]+kaA[Pass]+YkaA[Prog]+mu[Cis]+y[Imp.2]', 'ranti[VTr]+YkaA[Prog]+yku[Intens]+mu[Cis]+y[Imp.2]', 'ranti[VTr]+kU[Refl/Mid]+yku[Intens]+mu[Cis]+y[Imp.2]', 'ranti[VTr]+kaA[Pass]+yku[Intens]+mu[Cis]+y[Imp.2]']]
Tsayna kostal hitaraykaqmanqa huk awkisna mitsikuykanqanta chaarir haytarinaq, “Imaraq kay kostalchaw.” nishpa.	Entonces un viejo pastor llegó donde el costal estaba botado y lo pateó diciendo, “¿Qué habrá en este costal.”	CRH-96-066	[['tsayna[ADV]'], ['kostal[N]'], ['hita[VTr]+raA[Dur]+YkaA[Prog]+q[Agt]+man[Dat]+qa[Top]'], ['huk[DET]'], ['awkis[N]+na[Acp]'], ['mitsi[VTr]+kU[Refl/Mid]+YkaA[Prog]+nqa[Sub](N)+n[Poss.3]+ta[Obj]'], ['chaa[VTr]+rI[Pct]+r[Cnv](N)'], ['hayta[VTr]+rI[Pct]+naq[Rpst]'], ['ima[PRON]+raq[Inacp]'], ['kay[DET]'], ['kostal[N]+chaw[Loc]'], ['ni[VTr]+shpa[Grd]']]	[[('Tsayna', 'tsayna')], [('kostal', 'kostal')], [('hita', 'hita'), ('ra', 'raA'), ('yka', 'YkaA'), ('q', 'q'), ('man', 'man'), ('qa', 'qa')], [('huk', 'huk')], [('awkis', 'awkis'), ('na', 'na')], [('mitsi', 'mitsi'), ('ku', 'kU'), ('yka', 'YkaA'), ('nqa', 'nqa'), ('n', 'n'), ('ta', 'ta')], [('chaa', 'chaa'), ('ri', 'rI'), ('r', 'r')], [('hayta', 'hayta'), ('ri', 'rI'), ('naq', 'naq')], [('Ima', 'ima'), ('raq', 'raq')], [('kay', 'kay')], [('kostal', 'kostal'), ('chaw', 'chaw')], [('ni', 'ni'), ('shpa', 'shpa')]]	[['tsay[PRON]+na[Acp]'], ['kostal[N]'], ['hita[VTr]+rI[Pct]+yku[Intens]+q[1.Sbj][2.Obj]+man[Cond]+qa[Top]', 'hita[VTr]+raA[Dur]+yku[Intens]+q[1.Sbj][2.Obj]+man[Cond]+qa[Top]', 'hita[VTr]+rI[Pct]+YkaA[Prog]+q[1.Sbj][2.Obj]+man[Cond]+qa[Top]', 'hita[VTr]+raA[Dur]+yku[Intens]+q[Agt]+man[Dat]+qa[Top]', 'hita[VTr]+rI[Pct]+yku[Intens]+q[Agt]+man[Dat]+qa[Top]', 'hita[VTr]+rI[Pct]+YkaA[Prog]+q[Agt]+man[Dat]+qa[Top]', 'hita[VTr]+raA[Dur]+YkaA[Prog]+q[1.Sbj][2.Obj]+man[Cond]+qa[Top]', 'hita[VTr]+raA[Dur]+YkaA[Prog]+q[Agt]+man[Dat]+qa[Top]'], ['huk[NUM.Card]', 'huk[DET]', 'huk[PRON]'], ['awkis[N]+na[Acp]'], ['mitsi[VTr]+kU[Refl/Mid]+YkaA[Prog]+nqa[Sub](N)+n[Poss.3]+ta[Obj]'], ['chaa[VTr]+rI[Pct]+r[Cnv](N)'], ['hayta[VTr]+rI[Pct]+naq[Rpst]'], ['ima[PRON]+raq[Inacp]'], ['ka[AUX]+y[Inf]', 'kay[DET]', 'kay[PRON]', 'ka[AUX]+y[Imp.2]'], ['kostal[N]+chaw[Loc]'], ['nish[ADV]+pa[Man]', 'ni[VTr]+shpa[Grd]', 'nish[ADV]+pa[Gen]', 'nish[ADV]+pa[Prol]']]
Tsayna kreyintsu, “Imanapam pay ushpanqa.” nir.	Pero no lo creó y dijo, “¿Cómo lo va a comer él.”	CRH-97-096	[['tsayna[ADV]'], ['kreyi[VTr]+n[3]+tsu[Neg]'], ['imana[PRON]+pa[Man](ADV)+mi[Asrt]'], ['pay[PRON.Prs]'], ['ushpa[VTr]+nqa[Fut.3]'], ['ni[VTr]+r[Cnv](N)']]	[[('Tsayna', 'tsayna')], [('kreyi', 'kreyi'), ('n', 'n'), ('tsu', 'tsu')], [('Imana', 'imana'), ('pa', 'pa'), ('m', 'mi')], [('pay', 'pay')], [('ushpa', 'ushpa'), ('nqa', 'nqa')], [('ni', 'ni'), ('r', 'r')]]	[['tsay[PRON]+na[Acp]'], ['kreyi[VTr]+n[3]+tsu[Neg]'], ['imana[PRON]+pa[Prol]+mi[Asrt]', 'imana[PRON]+pa[Gen]+mi[Asrt]'], ['pay[PRON.Prs]'], ['ushpa[VTr]+nqa[Fut.3]', 'ushpa[VTr]+nqa[Sub](N)', 'ushpa[VTr]+n[3]+qa[Top]'], ['ni[VTr]+r[Cnv](N)']]
“Apuray,” ninaq reyqa.	Apúrate,” dijo el rey.	CRH-97-106	[['apura[V]+y[Imp.2]'], ['ni[VTr]+naq[Rpst]'], ['rey[N]+qa[Top]']]	[[('Apura', 'apura'), ('y', 'y')], [('ni', 'ni'), ('naq', 'naq')], [('rey', 'rey'), ('qa', 'qa')]]	[['apura[V]+y[Inf]', 'apura[V]+y[Imp.2]'], ['ni[VTr]+naA[Prosp]+q[Agt]', 'ni[VTr]+naA[Prosp]+q[1.Sbj][2.Obj]', 'ni[VTr]+naq[Rpst]', 'ni[VTr]+naA[Prosp]+q[Hab]'], ['rey[N]+qa[Top]']]
Tsay niptinna patronqa alistapurqunaq allibwenu masisuta.	Entonces el patrón le alistó herramientas muy sólidas.	CRH-98-020	[['tsay[DET]'], ['ni[VTr]+pti[Cnv](N)+n[Poss.3]+na[Acp]'], ['patron[N]+qa[Top]'], ['alista[VTr]+pu[Apl]+rqu[RecPst][3]+naq[Rpst]'], ['allibwenu[ADV]'], ['masisu[N]+ta[Obj]']]	[[('Tsay', 'tsay')], [('ni', 'ni'), ('pti', 'pti'), ('n', 'n'), ('na', 'na')], [('patron', 'patron'), ('qa', 'qa')], [('alista', 'alista'), ('pu', 'pu'), ('rqu', 'rqu'), ('naq', 'naq')], [('allibwenu', 'allibwenu')], [('masisu', 'masisu'), ('ta', 'ta')]]	[['tsay[DET]', 'tsay[PRON]'], ['ni[VTr]+pti[Cnv](N)+n[Poss.3]+na[Acp]'], ['patron[N]+qa[Top]'], ['alista[VTr]+pu[Apl]+rqu[RecPst][3]+naq[Rpst]'], ['allibwenu[ADV]'], ['masisuta[UNK]']]
Yapayna nirqunaq, “Ayway montita.	Otra vez le dijo, “Vete al monte.	CRH-98-037	[['yapay[ADV]+na[Acp]'], ['ni[VTr]+rqu[RecPst][3]+naq[Rpst]'], ['aywa[VTr]+y[Imp.2]'], ['monti[N]+ta[Obj]']]	[[('Yapay', 'yapay'), ('na', 'na')], [('ni', 'ni'), ('rqu', 'rqu'), ('naq', 'naq')], [('Aywa', 'aywa'), ('y', 'y')], [('monti', 'monti'), ('ta', 'ta')]]	[['yapa[VTr]+y[Inf]+na[Acp]', 'yapa[VTr]+y[Imp.2]+na[Acp]', 'yapay[ADV]+na[Acp]'], ['ni[VTr]+rqu[RecPst][3]+naq[Rpst]'], ['aywa[VTr]+y[Imp.2]', 'aywa[VTr]+y[Inf]'], ['monti[N]+ta[Obj]']]
Tsayna patronqa willarqunaq kaynawmi: “Unayna huk dyabluwan kontratuta ruraykuyarqaa, allaapa waktsa karnin, imaykapis qillayniipis qumananpaq.	Entonces el patrón le dijo, “Hace tiempo cuando era muy pobre, yo hice contrato con un diablo para que me diera mucho dinero.	CRH-98-073	[['tsayna[ADV]'], ['patron[N]+qa[Top]'], ['willa[VTr]+rqu[RecPst][3]+naq[Rpst]'], ['kaynaw[ADV]+mi[Asrt]'], ['unay[N]+na[Acp]'], ['huk[DET]'], ['dyablu[N]+wan[Com]'], ['kontratu[N]+ta[Obj]'], ['rura[VTr]+yku[Intens]+yaA[VPl]+rqa[Pst]+ː[1]'], ['allaapa[ADV]'], ['waktsa[ADJ]'], ['ka[AUX]+r[Cnv](N)+n[Poss.3]'], ['imayka[PRON]+pis(Pron.Indef)'], ['qillay[N]+ː[Poss.1Sg]+pis[Coord]'], ['qu[VTr]+maA[1.Obj]+na[Pot](N)+n[Poss.3]+paq[Ben]']]	[[('Tsayna', 'tsayna')], [('patron', 'patron'), ('qa', 'qa')], [('willa', 'willa'), ('rqu', 'rqu'), ('naq', 'naq')], [('kaynaw', 'kaynaw'), ('mi', 'mi')], [('Unay', 'unay'), ('na', 'na')], [('huk', 'huk')], [('dyablu', 'dyablu'), ('wan', 'wan')], [('kontratu', 'kontratu'), ('ta', 'ta')], [('rura', 'rura'), ('yku', 'yku'), ('ya', 'yaA'), ('rqa', 'rqa'), ('a', 'ː')], [('allaapa', 'allaapa')], [('waktsa', 'waktsa')], [('ka', 'ka'), ('r', 'r'), ('ni', 0), ('n', 'n')], [('imayka', 'imayka'), ('pis', 'pis')], [('qillay', 'qillay'), ('ni', 0), ('i', 'ː'), ('pis', 'pis')], [('qu', 'qu'), ('ma', 'maA'), ('na', 'na'), ('n', 'n'), ('paq', 'paq')]]	[['tsay[PRON]+na[Acp]'], ['patron[N]+qa[Top]'], ['willa[VTr]+rqu[RecPst][3]+naq[Rpst]'], ['kaynaw[ADV]+mi[Asrt]', 'ka[AUX]+y[Inf]+naw[Equ]+mi[Asrt]'], ['unay[N]+na[Acp]'], ['huk[NUM.Card]', 'huk[DET]', 'huk[PRON]'], ['dyablu[N]+wan[Com]'], ['kontratu[N]+ta[Obj]'], ['rura[VTr]+yku[Intens]+yaA[VPl]+rqa[Pst]+ː[1]'], ['allaapa[ADV]', 'allaapa[N]'], ['waktsa[ADJ]'], ['ka[AUX]+r[Cnv](N)+n[Poss.3]'], ['imayka[PRON]+pis(Pron.Indef)'], ['qillay[N]+ː[Poss.1Sg]+pis[Coord]'], ['quma[V]+na[Pot](N)+n[Poss.3]+paq[Ben]']]
Tsaymi kada hunaq mas abansamun.	Cada día se acerca más.	CRH-98-082	[['tsay[PRON]+mi[Asrt]'], ['kada[DET]'], ['hunaq[N]'], ['mas[ADV]'], ['abansa[V]+mu[Cis]+n[3]']]	[[('Tsay', 'tsay'), ('mi', 'mi')], [('kada', 'kada')], [('hunaq', 'hunaq')], [('mas', 'mas')], [('abansa', 'abansa'), ('mu', 'mu'), ('n', 'n')]]	[['tsay[PRON.Dem]+mi[Asrt]', 'tsay[PRON]+mi[Asrt]'], ['kada[DET]'], ['hunaq[N]'], ['mas[ADV]'], ['abansa[V]+mu[Cis]+n[3]']]
Punuy ni mikuy tsarimantsu.	No me da ganas ni de dormir ni de comer.	CRH-98-084	[['punu[VInt]+y[Inf]'], ['ni[CCONJ]'], ['miku[VTr]+y[Inf]'], ['tsari[VTr]+maA[1.Obj]+n[3]+tsu[Neg]']]	[[('Punu', 'punu'), ('y', 'y')], [('ni', 'ni')], [('miku', 'miku'), ('y', 'y')], [('tsari', 'tsari'), ('ma', 'maA'), ('n', 'n'), ('tsu', 'tsu')]]	[['punu[VInt]+y[Imp.2]', 'punu[VInt]+y[Inf]'], ['ni[CCONJ]'], ['miku[VTr]+y[Imp.2]', 'mikuy[N]', 'miku[VTr]+y[Inf]'], ['tsari[VTr]+maA[1.Obj]+n[3]+tsu[Neg]']]
Ni tsaypis tinkurqunaqtsu pachak kilumanqa.	Ni eso alcanzó para los cien kilos.	CRH-98-115	[['ni[CCONJ]'], ['tsay[PRON]+pis[Coord]'], ['tinku[VInt]+rqu[RecPst][3]+naq[Rpst]+tsu[Neg]'], ['pachak[NUM.Card]'], ['kilu[N]+man[Dat]+qa[Top]']]	[[('Ni', 'ni')], [('tsay', 'tsay'), ('pis', 'pis')], [('tinku', 'tinku'), ('rqu', 'rqu'), ('naq', 'naq'), ('tsu', 'tsu')], [('pachak', 'pachak')], [('kilu', 'kilu'), ('man', 'man'), ('qa', 'qa')]]	[['ni[CCONJ]'], ['tsay[PRON]+pis(Pron.Indef)'], ['tinku[VInt]+rqu[RecPst][3]+naq[Rpst]+tsu[Neg]'], ['pachak[NUM.Card]'], ['kilu[N]+man[Dat]+qa[Top]', 'kilu[V]+maA[1.Obj]+n[3]+qa[Top]']]
Hina unay qayakurqunaq.	Siguió llamando largo rato.	CRH-98-130	[['hina[ADV]'], ['unay[N]'], ['qaya[VTr]+kU[Refl/Mid]+rqu[RecPst][3]+naq[Rpst]']]	[[('Hina', 'hina')], [('unay', 'unay')], [('qaya', 'qaya'), ('ku', 'kU'), ('rqu', 'rqu'), ('naq', 'naq')]]	[['hina[ADV]', 'hina[N]'], ['unay[N]'], ['qaya[VTr]+kU[Refl/Mid]+rqu[RecPst][3]+naq[Rpst]']]
Nunakunam uryaykaayan chakrachaw	Los hombres están trabajando en la chacra	DIC-MINEDU-2005-021	[['nuna[N]+kuna[Pl]+mi[Asrt]'], ['urya[VTr]+YkaA[Prog]+yaA[VPl]+n[3]'], ['chakra[N]+chaw[Loc]']]	[[('Nuna', 'nuna'), ('kuna', 'kuna'), ('m', 'mi')], [('urya', 'urya'), ('ykaa', 'YkaA'), ('ya', 'yaA'), ('n', 'n')], [('chakra', 'chakra'), ('chaw', 'chaw')]]	[['nuna[N]+kuna[Pl]+mi[Asrt]'], ['urya[VTr]+YkaA[Prog]+yaA[VPl]+n[3]'], ['chakra[N]+chaw[Loc]']]
Wamra punukuykaq awilunta chawaaratsishqa	El niño le interrumpió el sueño a su abuelo	DIC-MINEDU-2005-037	[['wamra[N]'], ['punu[VInt]+kU[Refl/Mid]+YkaA[Prog]+q[Agt]'], ['awilu[N]+n[Poss.3]+ta[Obj]'], ['chawaaratsi[VTr]+shqa[Prf](N)']]	[[('Wamra', 'wamra')], [('punu', 'punu'), ('ku', 'kU'), ('yka', 'YkaA'), ('q', 'q')], [('awilu', 'awilu'), ('n', 'n'), ('ta', 'ta')], [('chawaaratsi', 'chawaaratsi'), ('shqa', 'shqa')]]	[['wamra[N]'], ['punu[VInt]+kU[Refl/Mid]+YkaA[Prog]+q[Hab]', 'punu[VInt]+kU[Refl/Mid]+YkaA[Prog]+q[Agt]', 'punu[VInt]+kU[Refl/Mid]+YkaA[Prog]+q[1.Sbj][2.Obj]'], ['awilu[N]+n[Poss.3]+ta[Obj]'], ['chawaaratsishqa[UNK]']]
Ichik allqum kaniman	El perro pequeño me muerde	DIC-MINEDU-2005-129	[['ichik[ADJ]'], ['allqu[N]+mi[Asrt]'], ['kani[VTr]+maA[1.Obj]+n[3]']]	[[('Ichik', 'ichik')], [('allqu', 'allqu'), ('m', 'mi')], [('kani', 'kani'), ('ma', 'maA'), ('n', 'n')]]	[['ichik[ADJ]'], ['allqu[N]+mi[Asrt]'], ['kani[VTr]+maA[1.Obj]+n[3]']]
